"crop","province","year","yield","mov_avg_9window","residual","mean_residual","sd_residual","lower_sigma","upper_sigma","yield_outlier","yield_to_use","yield_trend","yield_detrResids","yield_growthRate_DLM","yield_growthRate_DLM_CIlow","yield_growthRate_DLM_CIhigh"
"Rice","Ayutthaya",1920,1.86632781723559,1.77410467766613,0.0922231395694597,0.00160304877152169,0.335152404246421,-1.00385416396774,1.00706026151078,NA,1.86632781723559,1.76165458970119,0.104673227534407,-0.00874518280854162,-0.0396863071793462,0.022195941562263
"Rice","Ayutthaya",1921,1.8039288416913,1.68719402499568,0.116734816695617,0.00160304877152169,0.335152404246421,-1.00385416396774,1.00706026151078,NA,1.8039288416913,1.7357582023172,0.0681706393740966,-0.00884036603139161,-0.0392199226561365,0.0215391905933533
"Rice","Ayutthaya",1922,1.78798819498266,1.71634474911091,0.071643445871747,0.00160304877152169,0.335152404246421,-1.00385416396774,1.00706026151078,NA,1.78798819498266,1.70309098233124,0.0848972126514183,-0.0089145729832438,-0.0388706543261774,0.0210415083596899
"Rice","Ayutthaya",1923,1.59414860611297,1.67967346480952,-0.0855248586965522,0.00160304877152169,0.335152404246421,-1.00385416396774,1.00706026151078,NA,1.59414860611297,1.66207773763184,-0.0679291315188713,-0.00894608228834324,-0.0386674088299351,0.0207752442532487
"Rice","Ayutthaya",1924,1.81812992830815,1.59938989638664,0.218740031921508,0.00160304877152169,0.335152404246421,-1.00385416396774,1.00706026151078,NA,1.81812992830815,1.62818562318888,0.189944305119271,-0.00887168962743205,-0.0382878648332406,0.0205444855783765
"Rice","Ayutthaya",1925,1.25264076164342,1.54653967310347,-0.293898911460042,0.00160304877152169,0.335152404246421,-1.00385416396774,1.00706026151078,NA,1.25264076164342,1.57568153876719,-0.323040777123763,-0.00875696571802829,-0.0382779200781406,0.0207639886420841
"Rice","Ayutthaya",1926,1.89124909380227,1.48705963746014,0.404189456342129,0.00160304877152169,0.335152404246421,-1.00385416396774,1.00706026151078,NA,1.89124909380227,1.55619930269518,0.335049791107095,-0.00842978774684765,-0.0375161702455633,0.020656594751868
"Rice","Ayutthaya",1927,1.4229744746998,1.42072198600575,0.00225248869404893,0.00160304877152169,0.335152404246421,-1.00385416396774,1.00706026151078,NA,1.4229744746998,1.50381799762499,-0.0808435229251854,-0.00811893521153769,-0.0374701922722027,0.0212323218491273
"Rice","Ayutthaya",1928,0.957121349003626,1.4398879786099,-0.482766629606271,0.00160304877152169,0.335152404246421,-1.00385416396774,1.00706026151078,NA,0.957121349003626,1.46044789272238,-0.503326543718754,-0.00761301645358364,-0.0371482468371724,0.0219222139300051
"Rice","Ayutthaya",1929,1.390675807687,1.46728918904722,-0.0766133813602177,0.00160304877152169,0.335152404246421,-1.00385416396774,1.00706026151078,NA,1.390675807687,1.46861236890361,-0.0779365612166061,-0.00690449465368773,-0.0356690708614976,0.0218600815541222
"Rice","Ayutthaya",1930,1.26860852090138,1.58672717289472,-0.318118651993332,0.00160304877152169,0.335152404246421,-1.00385416396774,1.00706026151078,NA,1.26860852090138,1.48556606701636,-0.216957546114978,-0.00627360068470528,-0.0341810706935762,0.0216338693241656
"Rice","Ayutthaya",1931,1.19094933189313,1.54376222511562,-0.35281289322249,0.00160304877152169,0.335152404246421,-1.00385416396774,1.00706026151078,NA,1.19094933189313,1.52508351793376,-0.334134186040631,-0.00576024075374004,-0.0324922933703255,0.0209718118628454
"Rice","Ayutthaya",1932,1.76664253955028,1.5395016085643,0.22714093098598,0.00160304877152169,0.335152404246421,-1.00385416396774,1.00706026151078,NA,1.76664253955028,1.59862303499788,0.168019504552395,-0.00546130541061475,-0.0305862958457346,0.0196636850245051
"Rice","Ayutthaya",1933,2.06474082224408,1.65136074098023,0.413380081263849,0.00160304877152169,0.335152404246421,-1.00385416396774,1.00706026151078,NA,2.06474082224408,1.65537784754513,0.409362974698953,-0.00547227380492229,-0.0294182603867663,0.0184737127769217
"Rice","Ayutthaya",1934,2.32758261627086,1.5921494078936,0.735433208377266,0.00160304877152169,0.335152404246421,-1.00385416396774,1.00706026151078,NA,2.32758261627086,1.67077802154593,0.656804594724938,-0.00570370009028913,-0.029155531290941,0.0177481311103628
"Rice","Ayutthaya",1935,1.50456456379038,1.6416868218448,-0.137122258054417,0.00160304877152169,0.335152404246421,-1.00385416396774,1.00706026151078,NA,1.50456456379038,1.61988203195787,-0.115317468167485,-0.00602451284265764,-0.0299687321392469,0.0179197064539316
"Rice","Ayutthaya",1936,1.38462892573795,1.70446330451518,-0.31983437877723,0.00160304877152169,0.335152404246421,-1.00385416396774,1.00706026151078,NA,1.38462892573795,1.58031382328977,-0.195684897551817,-0.00621035963109981,-0.0305373710999356,0.0181166518377359
"Rice","Ayutthaya",1937,1.96385354074704,1.70829809940718,0.255555441339854,0.00160304877152169,0.335152404246421,-1.00385416396774,1.00706026151078,NA,1.96385354074704,1.56030191878239,0.403551621964642,-0.00628730047715902,-0.0307368216708867,0.0181622207165686
"Rice","Ayutthaya",1938,0.857773809907278,1.51812108930119,-0.660347279393914,0.00160304877152169,0.335152404246421,-1.00385416396774,1.00706026151078,NA,0.857773809907278,1.49985013427499,-0.642076324367711,-0.00634072845612269,-0.0316057762307018,0.0189243193184565
"Rice","Ayutthaya",1939,1.71444524646219,1.48095373924373,0.233491507218458,0.00160304877152169,0.335152404246421,-1.00385416396774,1.00706026151078,NA,1.71444524646219,1.50404744867232,0.210397797789867,-0.00617682669963446,-0.0312255229776883,0.0188718695784193
